ダウンロードした時刻：2026/04/13 04:54:09

,東京
,日射量(MJ/m2)
2025年4月1日1時,--
2025年4月1日2時,--
2025年4月1日3時,--
2025年4月1日4時,--
2025年4月1日5時,0.00
2025年4月1日6時,0.00
2025年4月1日7時,0.04
2025年4月1日8時,0.08
2025年4月1日9時,0.13
2025年4月1日10時,0.18
2025年4月1日11時,0.27
2025年4月1日12時,0.27
2025年4月1日13時,0.27
2025年4月1日14時,0.38
2025年4月1日15時,0.24
2025年4月1日16時,0.14
2025年4月1日17時,0.06
2025年4月1日18時,0.01
2025年4月1日19時,0.00
2025年4月1日20時,--
2025年4月1日21時,--
2025年4月1日22時,--
2025年4月1日23時,--
2025年4月1日24時,--
2025年4月2日1時,--
2025年4月2日2時,--
2025年4月2日3時,--
2025年4月2日4時,--
2025年4月2日5時,0.00
2025年4月2日6時,0.00
2025年4月2日7時,0.06
2025年4月2日8時,0.18
2025年4月2日9時,0.26
2025年4月2日10時,0.52
2025年4月2日11時,0.75
2025年4月2日12時,1.03
2025年4月2日13時,1.33
2025年4月2日14時,0.82
2025年4月2日15時,0.37
2025年4月2日16時,0.34
2025年4月2日17時,0.38
2025年4月2日18時,0.06
2025年4月2日19時,0.00
2025年4月2日20時,--
2025年4月2日21時,--
2025年4月2日22時,--
2025年4月2日23時,--
2025年4月2日24時,--
2025年4月3日1時,--
2025年4月3日2時,--
2025年4月3日3時,--
2025年4月3日4時,--
2025年4月3日5時,0.00
2025年4月3日6時,0.02
2025年4月3日7時,0.11
2025年4月3日8時,0.23
2025年4月3日9時,0.43
2025年4月3日10時,0.50
2025年4月3日11時,0.60
2025年4月3日12時,0.65
2025年4月3日13時,0.62
2025年4月3日14時,0.47
2025年4月3日15時,0.47
2025年4月3日16時,0.35
2025年4月3日17時,0.22
2025年4月3日18時,0.09
2025年4月3日19時,0.00
2025年4月3日20時,--
2025年4月3日21時,--
2025年4月3日22時,--
2025年4月3日23時,--
2025年4月3日24時,--
2025年4月4日1時,--
2025年4月4日2時,--
2025年4月4日3時,--
2025年4月4日4時,--
2025年4月4日5時,0.00
2025年4月4日6時,0.04
2025年4月4日7時,0.56
2025年4月4日8時,1.36
2025年4月4日9時,2.09
2025年4月4日10時,2.70
2025年4月4日11時,3.12
2025年4月4日12時,3.33
2025年4月4日13時,3.28
2025年4月4日14時,2.99
2025年4月4日15時,2.07
2025年4月4日16時,1.79
2025年4月4日17時,0.88
2025年4月4日18時,0.26
2025年4月4日19時,0.00
2025年4月4日20時,--
2025年4月4日21時,--
2025年4月4日22時,--
2025年4月4日23時,--
2025年4月4日24時,--
2025年4月5日1時,--
2025年4月5日2時,--
2025年4月5日3時,--
2025年4月5日4時,--
2025年4月5日5時,0.00
2025年4月5日6時,0.06
2025年4月5日7時,0.61
2025年4月5日8時,1.38
2025年4月5日9時,2.10
2025年4月5日10時,2.68
2025年4月5日11時,3.05
2025年4月5日12時,3.04
2025年4月5日13時,3.06
2025年4月5日14時,2.76
2025年4月5日15時,1.95
2025年4月5日16時,1.54
2025年4月5日17時,0.54
2025年4月5日18時,0.14
2025年4月5日19時,0.00
2025年4月5日20時,--
2025年4月5日21時,--
2025年4月5日22時,--
2025年4月5日23時,--
2025年4月5日24時,--
2025年4月6日1時,--
2025年4月6日2時,--
2025年4月6日3時,--
2025年4月6日4時,--
2025年4月6日5時,0.00
2025年4月6日6時,0.03
2025年4月6日7時,0.48
2025年4月6日8時,1.46
2025年4月6日9時,1.90
2025年4月6日10時,2.47
2025年4月6日11時,1.46
2025年4月6日12時,1.01
2025年4月6日13時,0.93
2025年4月6日14時,0.68
2025年4月6日15時,1.66
2025年4月6日16時,1.35
2025年4月6日17時,1.03
2025年4月6日18時,0.32
2025年4月6日19時,0.00
2025年4月6日20時,--
2025年4月6日21時,--
2025年4月6日22時,--
2025年4月6日23時,--
2025年4月6日24時,--
2025年4月7日1時,--
2025年4月7日2時,--
2025年4月7日3時,--
2025年4月7日4時,--
2025年4月7日5時,0.00
2025年4月7日6時,0.05
2025年4月7日7時,0.19
2025年4月7日8時,0.25
2025年4月7日9時,0.28
2025年4月7日10時,2.10
2025年4月7日11時,3.14
2025年4月7日12時,2.80
2025年4月7日13時,1.58
2025年4月7日14時,1.38
2025年4月7日15時,1.03
2025年4月7日16時,0.34
2025年4月7日17時,0.56
2025年4月7日18時,0.27
2025年4月7日19時,0.00
2025年4月7日20時,--
2025年4月7日21時,--
2025年4月7日22時,--
2025年4月7日23時,--
2025年4月7日24時,--
2025年4月8日1時,--
2025年4月8日2時,--
2025年4月8日3時,--
2025年4月8日4時,--
2025年4月8日5時,0.00
2025年4月8日6時,0.08
2025年4月8日7時,0.60
2025年4月8日8時,1.30
2025年4月8日9時,1.86
2025年4月8日10時,2.41
2025年4月8日11時,3.01
2025年4月8日12時,3.21
2025年4月8日13時,2.91
2025年4月8日14時,2.34
2025年4月8日15時,1.55
2025年4月8日16時,1.10
2025年4月8日17時,0.66
2025年4月8日18時,0.28
2025年4月8日19時,0.00
2025年4月8日20時,--
2025年4月8日21時,--
2025年4月8日22時,--
2025年4月8日23時,--
2025年4月8日24時,--
2025年4月9日1時,--
2025年4月9日2時,--
2025年4月9日3時,--
2025年4月9日4時,--
2025年4月9日5時,0.00
2025年4月9日6時,0.08
2025年4月9日7時,0.66
2025年4月9日8時,1.45
2025年4月9日9時,2.19
2025年4月9日10時,2.80
2025年4月9日11時,3.21
2025年4月9日12時,3.38
2025年4月9日13時,3.28
2025年4月9日14時,2.97
2025年4月9日15時,2.43
2025年4月9日16時,1.80
2025年4月9日17時,0.63
2025年4月9日18時,0.28
2025年4月9日19時,0.00
2025年4月9日20時,--
2025年4月9日21時,--
2025年4月9日22時,--
2025年4月9日23時,--
2025年4月9日24時,--
2025年4月10日1時,--
2025年4月10日2時,--
2025年4月10日3時,--
2025年4月10日4時,--
2025年4月10日5時,0.00
2025年4月10日6時,0.03
2025年4月10日7時,0.29
2025年4月10日8時,0.76
2025年4月10日9時,1.27
2025年4月10日10時,1.88
2025年4月10日11時,1.58
2025年4月10日12時,2.64
2025年4月10日13時,3.04
2025年4月10日14時,1.84
2025年4月10日15時,0.50
2025年4月10日16時,0.58
2025年4月10日17時,0.42
2025年4月10日18時,0.22
2025年4月10日19時,0.00
2025年4月10日20時,--
2025年4月10日21時,--
2025年4月10日22時,--
2025年4月10日23時,--
2025年4月10日24時,--
2025年4月11日1時,--
